ability;способность
properly (as in working properly) (My computer isn’t working properly);правильно
to protect;защищать
proud;гордый
to prove;доказать
to provide;обеспечить
public (public opinion, to make something public, to be open to the public);публичный
to publish;публиковать
pump (petrol/bike pump);насос
to punish;наказать
pupil;ученик
puppy;щенок
pure;чистый
purpose (He did it on purpose., The purpose of this meeting is to…);цель
push;толкать
to put away (He put the book away.);убрать
to put down (She put her name down for the trip.);записать
to put off (The meeting was put off until the following week.);откладывать
to put on (He put on a suit., Can you put on the light?, He didn’t want to put on weight.);надеть
to put out (The fire was quickly put out.);тушить
to put through (Can you put me through to the manager, please?);соединить
to put up (The company had to put up its prices.);повышать цены
pyjamas;пижама
qualified;квалифицированный
quality;качество
quantity;количество
question (to ask a question, the question being discussed);вопрос
questionnaire;анкета
queue;очередь
to quit;бросить
quite (Are you quite sure?, quite old);довольно
to race (to win a race, to race against fast runners, to race home quickly);мчаться
racket (tennis racket radio);ракетка
rail (to go by rail railway);железная дорога
rainforest;тропический лес
to raise (to raise your arm, to raise prices);поднять
range;диапазон
rap (rap artist);рэп
rare;редкий
rarely;редко
rather (She’s rather tall for her age., I’d rather go to the cinema than the theatre.,rather than go out?);скорее, довольно
raw (raw meat);сырой
to reach;достичь
to react (He reacted quickly to the news.);реагировать
reader;читатель
reading;чтение
real;реальный
to realise (He realised it was true.);осознать
realistic;реалистичный
reality;реальность
reason;причина
reasonable;разумный
reasonably;разумно
to rebuild;перестроить
receipt;квитанция
to receive;получить
recent;недавний
to recognise;распознавать
to recommend (to recommend someone/something);рекомендовать
record (to keep a record, to break a record);рекорд
to record (to record a song);записывать
recording;запись
to recover (to recover from an illness);выздоравливать,восстанавливаться
to recycle (I don’t recycle as much as I should.);перерабатывать
recycled;переработанный
recycling;переработка
to reduce;уменьшить
refund;возврат
to refuse;отказаться
regarding;относительно
regards;привет
region;регион
to register (He registered with a new doctor.);зарегистрироваться
registration;регистрация
regret;сожаление
to regret;сожалеть
regular;обычный
regularly;регулярно
relationship;отношение
relative (a relative came to stay);родственник
to relax;расслабиться
relaxation;релаксация
relaxed;расслабленный
reliable;надежный
relieved;облегчение
religion;религия
to rely (on);полагаться (на)
to remain;оставаться
to remind;напомнить
to remove;удалить
to rent;сдавать в аренду
to replace;заменить
reply;ответ
to reply;ответить
report;отчет
to report;сообщать
request;просьба
to request;просить
to require;требовать
rescue;спасение
to rescue;спасти
research;исследование
to research;исследовать
to reserve (She was a reserve for the team., to reserve a seat);резервировать
resort;прибегать
respect;уважание
to respect;уважать
responsible;ответственный
to rest (a rest from work, the rest of them, The doctor told her to rest.);отдохнуть
result;результат
to retire;уйти на пенсию
return (a return ticket);возврат,вернуться
to return (to return home);возвращаться
review;обзор
to revise;пересматривать
revision;пересмотр
reward;наградить
right (the right time, the right person for the job, my right foot, Everything will be all right.);правильно
right-hand;правая рука
to ring (stand in a ring, a wedding ring, Give me a ring tomorrow. (call), Suddenly the bell rang.);звонить
to ring back;перезвонить
to ring up;звонить
to rise (The sun rises in the east., Prices are rising.);расти
to rob;грабить
rock (rock (music), a hard piece of rock);рок
rocket (They sent a rocket into space.);ракета
role;роль
roll (a roll of film, a bread roll);рулон
romance;романс
romantic;романтический
room (the sitting room, There’s lots of room in here.);комната
rope;веревка
rose;роза
rough (a rough road, a rough idea, rough work);грубый
round (a round object, the wrong way round, to sit round a table);круглый
routine;рутина
row (a row of seats);ряд
rude;грубый
ruin;разрушить
rule;правило
to rule (the rules of grammar, to rule a country);править
ruler (draw a line using a ruler);линейка
to run (to run in a race, to run a business);бежать
runner;бегун
to run out (He ran out of time and didn’t finish.);выбежать
safe (to be safe from harm);безопасный
safely;безопасно
sale;продажа
salesman/saleswoman;продавец/продавщица
same (at the same time);то же самое, тот же
satisfactory;удовлетворительно
satisfied;удовлетворён
to save (to save someone, to save money, to save time);сохранять, спасать
to say (to say something to someone, I really can’t say.);сказать
scared;испугался
scene;сцена
scenery;пейзаж
schoolchild;школьник
science fiction;научная фантастика
scientific;научный
score (The score was 3-0);счет
to score (to score a goal);забивать гол
scream;крик
to scream;кричать
sculpture;скульптура
to search;искать
seaside;побережье
seat belt;ремень безопасности
second (She came second and won silver., This is the second time you’ve been late., sixty seconds in a minute);вторая
secondary (secondary school);средний
second-hand;из вторых рук
section;раздел
security;безопасность
to see (to see something (with the eyes), to see the joke (understand), to see someone about a problem);видеть
to seem;казаться
to select;выбрать
selfie (take a selfie);селфи
selfish;эгоистичный
self-service;самообслуживание
sense;смысл
sensible;разумный
sentence (words in a sentence);предложение
separate;отдельный
series (a TV series);сериал
serious (a serious person, a serious illness);серьёзный
seriously;серьёзно
to serve (to serve in a shop);обслуживать
server (a file server);сервер
service (a bus service, customer service);обслуживание
session (in a school);сессия
to set off (She set off early for work.);отправляться
to set out (They set out on the long journey.);отправляться в путь
to set up (Her mother helped her to set up in business.);основать
to sew;шить
shade (to sit in the shade);тень
shadow;тень
to shake;трясти
shall;должен
shame;позор,стыд
to share;поделиться
sharp (a sharp knife, a sharp corner, a sharp picture);острый
to shave;брить
sheet (sheets on a bed, a sheet of paper, information sheet);лист
to shine;светить
shiny;блестящий
shock (to suffer from shock);шок
shocked;шокирован
shocking;шокирующий
to shoot (to shoot at the goal);стрелять
shop;магазин
shopping (Let’s go shopping tomorow);Покупки
shore;берег
shortly;вскоре
shorts (a pair of shorts);шорты
should;должен
shout;кричать
to shout;кричать
show (a film show);шоу, показ, выставка
to show (Show it to me., The picture shows a village., It shows that they care.);показать
to show up (He showed up at the party);появиться
shower (a shower of rain, to have a shower);душ
to shut;закрыть,закрываться
shy;застенчивый
side;сторона
sight (Her sight is better with glasses., in sight, out of sight);зрение
sign (a road sign., no sign of life., signs of winter);знак
to sign (to sign a document.);подписывать
signal;сигнал
to signal;сигнализировать
signature;подпись
to sign up (sign up for an online course);зарегистрироваться
silence;тишина
silent;молчаливый
silly;глупый,дурацкий
similar;похожий
simple;простой
sincerely (Yours sincerely sing);искренне
singing;петь
single (a single ticket to Manchester, to be single (unmarried), a single room);один
sink (a kitchen sink);раковина
to sink (The ship began to sink.);тонуть
sir (Yes, sir!);сэр
to sit down;сесть
site;сайт
situated;расположен
situation;ситуация
to skateboard;кататься на скейтборде
skill;умение
to sleep (I usually go to sleep at 11pm.);спать
slightly;слегка
slim;тонкий
to slip (to slip on the ice slow);скользить
smart (a smart idea);умный
smartphone;смартфон
smoke;дым
to smoke;курить
smoking;курение
smooth (a smooth surface, a smooth ride in the new car (comfortable));гладкий
to snowboard;кататься на сноуборде
soap opera;мыльная опера
sociable;общительный
social;социальный
social media;социальные сети
society;общество
soft (a soft material, a soft drink);мягкий
software;программное обеспечение
solution;решение
solve;решить
somebody/someone;кто-то
somehow;как-то
something (Be into something., He’s really into sports);что-то
sometimes;иногда
soon (I’ll come soon., as soon as I can);скоро
sort (the same sort);сортировать
so so;так себе
soul;душа
sound (the sound of music);звук
to sound (It sounds like/as if…);звучать
soundtrack (The film’s soundtrack has music by Adele.);саундтрек
sour (a sour taste);кислый
southeast;юго-восток
southern;южный
southwest;юго-запад
souvenir;сувенир
space (a parking space, write in the spaces, not enough space, outer space);пространство
spare (spare cash, spare time, to spare the time);запасные
sparkling (Sparkling water, please.);газированный, игристое, искрящиеся
speaker;говорящий
specially;специально
species;вид
spectacular;захватывающий
speech;речь
spelling;правописание
to spend (to spend money/time);тратить
spice;специя
spicy;пряный
to spill;пролить
spite (in spite of);несмотря на
to split up (She’s just split up with her boyfriend.);расстаться
to spoil;портить
spy;шпионить
square (a square room, a market square);площадь
stage (to perform on a stage);сцена
stall (market stall);прилавок
stamp (a postage stamp);марка
to stand;стоять
star (stars in the sky, a film star);звезда
start (a good start);начать
to start (to start a race);начинать
station (a bus/fire/radio station);станция
statue;статуя
stay (a two-night stay);остаться (на две ночи)
to stay (to stay to dinner, to stay with friends, to stay looking young);оставаться
to stay behind (She stayed behind after the lesson to);остаться
speak to the teacher;поговорите с учителем
to steal;украсть
steep;крутой
step (two steps forward, to climb the steps);шаг
to step forward/back/out;идти вперед/назад/выйти
to step over/in/on/out of (something);перешагивать через/в/на/из
stick;палка
to stick (to stick two things together);все еще, по-прежнему
sticky;липкий
still;негазированная
to stir;размешивать
stomach ache;боли в животе
stone (a large stone, a stone bridge);камень
stop (a bus stop);остановка
to stop (The car stopped., It’s stopped raining., The rain stopped me from going out.);останавливаться
store (a department store);магазин
straight (to go straight on, a straight road);прямо
stranger;незнакомец
stress (He didn’t want the stress of a new job.);стресс
stressed;ударение
stressful;стрессовый
strict;строгий
strike (to go on strike);забастовка
to strike (to strike something);ударить
studio (TV/artist’s/recording studio studies);студия
study;исследование, изучение
to study (to study physics, to study the map, Social Studies);изучать
stuff;вещи
stupid;глупый
style;стиль
stylish;стильный
subject (the subject of a discussion, the subject of a sentence, a school subject);тема, предмет
to subtract;вычитать
subway (UK underground);метро
to succeed;добиться успеха
success;успех
successful;успешный
sudden;внезапно
to suffer;страдать
to suggest;предложить
suggestion;предложение
to suit (to wear a suit, The colour red suits you., Which time suits you?);подходить
suitable;подходит
sum (Huge sum of money.);сумма
to sunbathe;загорать
sunrise;восход
sunset;закат
sunshine;солнце
superhero;супергерой
supper;ужин
to supply (Fran supplied the sandwiches for the party.);поставлять, снабжать, обеспечивать
support (She gave me a lot of support during my exams.);поддержка
to support (to support a weight, to support a team);поддерживать
supporter;сторонник
to suppose (I suppose it’s true., You aren’t supposed to drive fast., It’s supposed to be a good film.);предполагать
sure (I’m sure you’re right., to make sure);конечно
to surf;заниматься серфингом
to surprise;удивить
suprising;удивительно
to surround (The cottage is surrounded by beautiful countryside.);окружать
sweet (sweet food, a sweet face, a sweet smell, to eat a sweet);сладкий
swimmer;пловец
bathing suit (UK swimming costume);купальный костюм
switch (light switch);выключатель
to switch (to switch on a machine);переключать
system;система
table-cloth;скатерть
to take (to take someone’s hand, to take a photo, to take a long time, to take a holiday);брать, взять, принимать
to take away (Take 15 away from 78.);отнять
to take care of (take care of someone.);заботиться
to take off (Do you want to take off your coat?, The plane takes off at 6.);взлетать, снимать
to take part (in) (Everybody took part in the meeting.);принять участие
to take place (The meeting took place at six.);состояться
to take up (He decided to take up a new hobby.);заняться
talent;талант
talented;талантливый
talk;говорить
tap (a cold-water tap);кран
taste (to have good taste);вкус
to taste (to taste food, It tastes good.);пробовать на вкус
tax;налог
teaching;обучение
tear (Tears ran down her cheeks.);слеза
to tear (to tear a piece of paper);рвать
technique;техника
technology;технология
teenager;подросток
to telephone;позвонить по телефону
television (TV);телевидение
to tell (to tell a story, to tell someone something, to tell someone to do something, You can’t always tell.);рассказать
temperature (to have a temperature, air temperature);температура
temporary;временный
tense;время
term;термин
terribly;ужасно
terrific;потрясающе
terrified;в ужасе
test;тест
to test;для проверки
textbook;учебник
text message;текстовое сообщение
themselves;сами по себе
therefore;поэтому
thick;толстый
thief;вор
to think (to think about something, I think he’s left., What did you think of the film?, I think I’ll go., I’m thinking of going.);думать
though;хотя
thought (to have thoughts about something, to be deep in thought);думал
thriller;триллер
to throw away (He threw away the old TV.);выбросить
thunder;гром
thunderstorm;гроза
tick;тик
to tick;ставить галочку
to tidy up (Please tidy up when you’ve finished.);убраться
tie (a shirt and tie);галстук
to tie (to tie with string);завязывать
tight (tight shoes);тесный
tights (a pair of tights);колготки
till (to wait till the end, till he comes);до
time (What time is it?, It took a long time., the last time, Is it time yet?);время
tin (a tin of peas, made of tin);олово, банка
tiny;крошечный
tip (the tip of the pencil, a tip for the waitress);чаевые
tip (advice);совет
tiring;утомительно
tissue;ткань
title;название
toast (toast for breakfast);тост
tongue;язык
too;тоже, очень
tooth/teeth;зуб/зубы
top (top of the class, at the top of his voice);топ
topic;тема
torch;факел
total;общий
totally;полностью
tourism;туризм
tourist information centre;туристический информационный центр
tournament;турнир
toward;к
town;город
track (a race track);трек
traditional;традиционный
traffic light;светофор
train (to travel by train);поезд
to train (to train in a skill);тренировать
trainer (a pair of trainers, a personal trainer);тренер
training;обучение, тренировка
to transfer;передавать
to translate;переводить
transport;транспортировать
trash can (UK rubbish bin);мусорный бак
trend;тенденция
trick;трюк
trip (a weekend trip);поездка
trouble;неприятности
trunk (UK boot);сундук, багажник, ствол (дерева)
trumpet;трубить
to trust (to trust someone);доверять
truth;правда
to try (to try to do something, to try (out) something);пробовать
to try on (to try on shoes);примерять
tube (a tube of toothpaste);тюбик
turn (It’s my turn);очередь
to turn (to turn your head, to turn the page, The wheels began to turn.);повернуть
to turn down (Could you turn down the music?);убавить звук
turning (the first turning on the left);поворот
to turn into (The water had turned into ice.);превращаться в
to turn off (She turned off the engine.);выключить
to turn on (Can you turn on the TV?);включить
to turn up (Turn up the radio – I can hardly hear it.);сделать громче
twin;близнец
type (a type of person);тип
to type (to type a letter);напечатать
typical;типичный
typically;обычно
tyre;шина
unable;неспособный
unbelievable;невероятно
uncomfortable;неудобно
under (under the bed, under £10.00);под
underground (underground trains, to travel by underground);подземка
to underline;подчеркивать
underneath;под
to understand;понимать
to undress;раздеться
unemployment;безработица
unexpected;неожиданный
unfair;несправедливо
unfit;непригодный
unforgettable;незабываемый
unfortunately;к сожалению
unhealthy;нездоровый
union;союз
unit;единица
unknown;неизвестно
unimportant;неважно
uninterested;незаинтересованный
uninteresting;неинтересно
universe;вселенная
unless;если только
unlikely;маловероятно
unlucky;неудачливый
unnecessary;ненужный
to unpack;распаковывать
unpleasant;неприятный
unwell;нездоров
update;обновление
to update;обновить
upload;загрузка
to upload;загрузить
upper;верхний
upset;расстроить
up to (up to six people);до
up to date;до настоящего времени
urgent/urgently;срочно
us;нас
use (It’s for the use of teachers only., Is this any use to you?);использование
to use (Can you use a computer?);использовать
to used to (I used to cycle a lot when I was younger., I’m not used to getting up early.);привык
useful;полезный
user;пользователь
usual;обычный
valley;долина
valuable;ценный
value;значение
van;ван
vanilla;ваниль
variety;разнообразие
various;различный
version (new/original version);версия
vet;ветеринар
via;через
video clip;видеоклип
video game;видеоигра
view (a beautiful view);вид
virus (a computer virus);вирус
visit;посетить
vocabulary;словарный запас
voice;голос
volume;громкость
vote;голосование
to vote;голосовать
vowel;гласная
wait;ждать
to wake;разбудить
to wake up;просыпаться
walking;ходить
war;война
wardrobe;гардероб
to warn;предупредить
warning;предупреждение
to wash up;мыть
washing machine;стиральная машина
washing-up (to do the washing-up);мытье посуды
to waste;тратить впустую
watch (My watch keeps good time.);часы
to watch (I watched TV last night.);смотреть
wave (waves at sea);волна
to wave (to wave goodbye);помахать рукой
way (Is this the way?, the wrong way, a long way, to stand in the way, That’s the way to do it.);путь
weak (to feel weak, a weak excuse);слабый
to wear (to wear a dress);носить
to wear out (You’ll wear out those shoes.);изнашиваться
weather forecast;прогноз погоды
web;веб
webcam;веб-камера
web page;веб-страница
wedding;свадьба
weekday;будний день
weekly (a weekly magazine, to phone home twice weekly);еженедельно
to weigh;взвешивать
weight;вес
welcome (a warm welcome);добро пожаловать
to welcome (Welcome to London!);приветствовать
well done!;молодец!
well-dressed;хорошо одетый
well-known;известный
well made;хорошо сделанный
western;западный
wet (wet clothes, wet weather);мокрый
whale;кит
whatever;что угодно
wheelchair;инвалидная коляска
whenever;когда бы то ни было
wherever;где бы то ни было
whether;ли
while, whilst;в то время как, пока
while (He stayed for a short while);в то время как
whole;целый
why;почему
wide (a wide road);широкий
wildlife;дикая природа
will;будет
willing;готов
wind (A strong wind was blowing.);ветер
windscreen;лобовое стекло
windsurfing;виндсерфинг
wing (a bird’s wing, the wing of an aeroplane);крыло
wise;мудрый
wish (Best wishes);Желаю
to wish (Wish me luck., I wish you were here.);желать
within;в пределах
to wonder (I wonder what he said.);задаваться вопросом
wood (to be made of wood, in a large wood wooden);дерево
word (words in a sentence, He didn’t say a word.);слово
work (school work, hard work, to be out of work);работа
to work (to work for a living);работать
worker;работник
working;работает
workout (I like a good workout at the gym.);тренировка
to work out (I work out at the gym every day.);заниматься спортом
worry;беспокойство
to worry;беспокоиться
worth;стоит
would;бы
to wrap (to wrap (up) a parcel);заворачивать
to write down (write down an address);записывать
writer;писатель
writing;написание
written;письменно
yard;двор
yeah;да
yesterday;вчера
yoga;йога
you know;вы знаете
yourself;себя
youth;юность
zero;ноль
zone;зона
