to absorb;поглощать
provincial;провинциальный
provision;положение
to provoke;провоцировать
psychiatric;психиатрический
pulse;пульс
pump;насос
punch;удар
query;запрос
quest;квест
quota;квота
radar;радар
radical;радикал
rage;ярость
raid;рейд
rally;митинговать
ranking;рейтинг
rape;изнасиловать
ratio;отношение
rational;рациональный
ray;луч
readily;легко
realization;реализация
realm;область
rear;задний
reasoning;рассуждение
to reassure;успокаивать
rebel;бунтовать
rebellion;восстание
recipient;получатель
reconstruction;реконструкция
to recount1;пересчитывать1
referendum;референдум
reflection;отражение
reform;реформировать
refuge;убежище
refusal;отказ
to regain;вернуть
regardless;независимо
regime;режим
regulator;регулятор
regulatory;регулирующий
rehabilitation;реабилитация
reign;царствовать
rejection;отклонение
relevance;релевантность
reliability;надежность
reluctant;неохотно
remainder;остаток
remains;остается
remedy;средство
reminder;напоминание
removal;удаление
to render;оказывать
to renew;обновить
renowned;известный
rental;аренда
replacement;замена
reportedly;как сообщается
representation;представление
to reproduce;воспроизводить
reproduction;воспроизведение
republic;республика
to resemble;походить
to reside;проживать
residence;резиденция
residential;жилой
residue;остаток
resignation;отставка
resistance;сопротивление
respective;соответствующий
respectively;соответственно
restoration;восстановление
restraint;сдержанность
to resume;возобновить
retreat;отступать
to retrieve;чтобы получить
revelation;откровение
revenge;месть
reverse;обратный
revival;возрождение
to revive;возрождать
revolutionary;революционный
rhetoric;риторика
rifle;винтовка
riot;бунт
to rip;рвать
ritual;ритуал
robust;крепкий
to rock;качаться
rod;жезл
to rotate;вращать
rotation;вращение
ruling;постановление
rumour;слух
to sack;увольнять
sacred;священный
sacrifice;жертвовать
saint;святой
sake;ради
sanction;санкция
say;сказать
scattered;разбросанный
sceptical;скептически
scope;область действия
screw;винт
scrutiny;проверка
seal;запечатать
secular;светский
seemingly;по-видимому
segment;сегмент
to seize;захватить
seldom;редко
selective;селективный
senator;сенатор
sensation;ощущение
sensitivity;чувствительность
sentiment;сентимент
separation;разделение
serial;серийный
settlement;поселение
set-up;настройка
shareholder;акционер
to shatter;разбить
to shed;пролить
sheer;чистый
shipping;доставка
shoot;стрелять
to shrink;сжиматься
to shrug;пожимать плечами
sigh;вздох
to simulate;имитировать
simulation;симуляция
simultaneously;одновременно
sin;грех
situated;расположен
sketch;эскиз
to slam;хлопать
to slap;давать пощечину
to slash;резать
slavery;рабство
slot;слот
to smash;разбить
to snap;щелкнуть
to soak;замачивать
to soar;парить
socialist;социалистический
sole;единственный
solely;исключительно
solicitor;адвокат
solidarity;солидарность
solo;соло
sound;звук
sovereignty;суверенитет
spam;спам
span;продолжительность, период, диапазон
to spare;щадить, экономить
to spark;зажечь
specialized;специализированный
specification;спецификация
specimen;образец
spectacle;зрелище
spectrum;спектр
spell;заклинание
sphere;сфера
spin;спин
spine;позвоночник
spotlight;прожектор
spouse;супруг
spy;шпионить
squad;отряд
to squeeze;выжимать
to stab;наносить удары ножом
stability;стабильность
to stabilize;стабилизировать
stake;кол
standing;стоя
stark;суровый
statistical;статистический
to steer;рулить
stem;основа
stereotype;стереотип
stimulus;стимул
to stir;размешивать
storage;хранилище
straightforward;прямолинейный
strain;напрягать
strand;нить
strategic;стратегический
striking;поразительный
strip;полоска (длинная узкая часть)
to strip (remove clothes/a layer);раздеваться (снимать одежду)
to strive;стремиться/слой
structural;структурный
to stumble;споткнуться
to stun;оглушить
submission;подчинение
subscriber;подписчик
subscription;подписка
subsidy;субсидия
substantial;существенный
substantially;существенно
substitute;заменитель
substitution;замена
subtle;тонкий
suburban;пригородный
succession;последовательность
successive;последовательный
successor;преемник
to suck;сосать
to sue;подать в суд
suicide;самоубийство
suite;сюита
summit;саммит
superb;превосходно
superior;превосходный
to supervise;контролировать
supervision;надзор
supervisor;руководитель
supplement;дополнение
supportive;поддерживающий
supposedly;якобы
to suppress;подавлять
supreme;высший
surge;всплеск
surgical;хирургический
surplus;излишек
to surrender;сдаться
surveillance;наблюдение
suspension;подвеска
suspicion;подозрение
suspicious;подозрительный
to sustain;поддерживать
sword;меч
symbolic;символический
syndrome;синдром
synthesis;синтез
systematic;систематический
tackle;взяться
tactic;тактика
tactical;тактический
taxpayer;налогоплательщик
to tempt;соблазнять
tenant;арендатор
tender;нежный
tenure;срок полномочий
terminal;терминал
to terminate;прекратить, прервать
terrain;местность
terrific;потрясающе
to testify;давать показания
testimony;свидетельство
texture;текстура
thankfully;к счастью
theatrical;театральный
theology;теология
theoretical;теоретический
thereafter;после этого
thereby;тем самым
thoughtful;вдумчивый
thought-provoking;наводит на размышления
thread;нить
threshold;порог
thrilled;взволнован
to thrive;процветать
tide;прилив
to tighten;затягивать
timber;древесина
timely;своевременный
tobacco;табак
tolerance;толерантность
to tolerate;терпеть, переносить
toll;потери
to top;наверх
torture;пытка
to toss;бросать
to total;к общему итогу
toxic;токсичный
trace;трассировка
trademark;торговая марка
trail;тропа
trailer;трейлер
transaction;транзакция
transcript;транскрипт
transformation;трансформация
transit;транзит
transmission;передача
transparency;прозрачность
transparent;прозрачный
trauma;травма
treaty;договор
tremendous;колоссальный
tribal;племенной
tribunal;трибунал
tribute;дань уважения
trigger;триггер
trio;трио
triumph;торжествовать
trophy;трофей
troubled;обеспокоенный
trustee;попечитель
tuition;обучение
turnout;явка
turnover;оборот
twist;крутить
undergraduate;бакалавриат
underlying;лежащий в основе
to undermine;подорвать
undoubtedly;несомненно
to unify;объединить
unprecedented;беспрецедентный
to unveil;раскрывать
upcoming;предстоящий
upgrade;обновление
to uphold;поддерживать
utility;полезность
to utilize;использовать
utterly;совершенно
vacuum;вакуум
vague;неопределенный
validity;действительность
to vanish;исчезнуть
variable;переменная
varied;разнообразный
vein;вена
venture;рисковать
verbal;вербальный
verdict;вердикт
to verify;для проверки
verse;стих
versus;против
vessel;судно
veteran;ветеран
viable;жизнеспособный
vibrant;яркий
vice;порок
vicious;порочный
villager;сельский житель
to violate;нарушать
violation;нарушение
virtue;добродетель
vocal;вокал
to vow;поклясться
vulnerability;уязвимость
vulnerable;уязвимый
ward;палата
warehouse;склад
warfare;война
warrant;ордер
warrior;воин
to weaken;ослабить
to weave;ткать
well-being;благополучие
whatsoever;что угодно
whereby;посредством чего
whilst;в то время как
to whip;хлестать
wholly;полностью
to widen;расширять
widow;вдова
width;ширина
willingness;готовность
to wipe;вытирать
wit;остроумие
withdrawal;снятие
worship;поклоняться
worthwhile;стоящий
worthy;достойный
to yell;кричать
yield;урожай, выход, доходность
youngster;юнец
